datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2015-08-07,2.83,1086.0,5684487.227122466,1977.0,164329.0,0.010152830594819544
2015-08-08,2.79,826.0,37899681.78848585,1973.0,674188.0,0.00997354686494602
2015-08-09,0.706136,732.0,823605.5177460972,1213.0,532170.0,0.0027042585784313724
2015-08-10,0.713989,1001.0,1194050.4876995445,1451.0,405283.0,0.0026894266988097028
2015-08-11,0.708087,2342.0,1053129.87256646,3029.0,1463100.0,0.002678697889082243
2015-08-12,1.06,906.0,797474.1891411162,1479.0,2150620.0,0.003917220990391722
2015-08-13,1.22,1274.0,2182919.674541458,2486.0,4068680.0,0.004583364640468855
2015-08-14,1.81,1594.0,4162001.5608409313,3014.0,4637030.0,0.006852686177261197
2015-08-15,1.8,1313.0,13902410.532770995,2170.0,2554360.0,0.0067788950401084635
2015-08-16,1.68,1202.0,2898479.7112438153,2340.0,3550790.0,0.006415396952686447
2015-08-17,1.58,1249.0,5383055.468162352,2410.0,1942830.0,0.006112422143990096
2015-08-18,1.22,1294.0,2409105.8694451074,2324.0,1485680.0,0.004729965494514015
2015-08-19,1.17,1350.0,1691424.3040286766,3147.0,1486239.9999999998,0.005184561527894714
2015-08-20,1.25,1167.0,592806.2044647724,2184.0,2843760.0,0.005509034817100044
2015-08-21,1.48,1425.0,894127.6769860323,3809.0,2020970.0,0.006288506479711069
2015-08-22,1.4,1414.0,874020.858747557,3455.0,948310.0,0.006017364394395254
2015-08-23,1.38,1570.0,697311.4173170967,4025.0,1589300.0,0.005990103307578783
2015-08-24,1.35,1436.0,630283.148710894,4374.0,924920.0,0.005918197360922362
2015-08-25,1.23,1580.0,505362.44535188255,4296.0,1307180.0,0.005855191126767268
2015-08-26,1.13,1527.0,508937.4578303659,4040.0,1056750.0,0.005088256484149855
2015-08-27,1.17,1591.0,323871.8274262666,5441.0,686662.0,0.00517584605175846
2015-08-28,1.15,1531.0,350703.3559061751,4652.0,721872.0,0.005117935024477081
2015-08-29,1.19,1375.0,515079.8086232559,4046.0,375377.0,0.005139278773483048
2015-08-30,1.18,1624.0,490922.05368119327,4490.0,1337650.0,0.005132666376685515
2015-08-31,1.32,1515.0,508670.8551751022,5106.0,1447180.0,0.005761424643184496
2015-09-01,1.35,1555.0,3134878.1625403087,5000.0,778862.0000000001,0.005862937548857814
2015-09-02,1.35,1514.0,374923.64646839374,4883.0,883769.0000000001,0.005920273648204184
2015-09-03,1.3,1448.0,724609.31193138,4527.0,702991.0,0.005668934240362812
2015-09-04,1.26,1450.0,222726.876319133,4924.0,474391.0,0.005545530566436336
2015-09-05,1.28,1486.0,230212.2344467824,5236.0,448453.0,0.005560382276281495
2015-09-06,1.34,1587.0,403305.8982312312,5340.0,491968.0,0.00570528377400264
