priceUSD,Predictive value
-0.7590256087999999,-0.8653417711195484
-0.7591750358,-0.8505543326583459
-0.7669596758,-0.9232925270269112
-0.7669303395,-0.9221238466313018
-0.7669523873999999,-0.9168995785407598
-0.7656377545999999,-0.9140928832776725
-0.7650400465,-0.9069541081897272
-0.7628359979000001,-0.8882403985300487
-0.7628733547,-0.8848043289767307
-0.7633216358,-0.8936471399631528
-0.7636952033,-0.8940298886987155
-0.7650400465,-0.9053847866841811
-0.7652268303,-0.9017062733457584
-0.7649279763,-0.9014938093704692
-0.7640687709,-0.8935456090869839
-0.7643676249,-0.8956166707682062
-0.7644423384000001,-0.8950875514445416
-0.7645544087,-0.8957095055977418
-0.7650026898000001,-0.8958794579765672
-0.7653762573,-0.9017142050401556
-0.7652268303,-0.8998810969141693
-0.7653015437999999,-0.9010647316261616
-0.7651521168000001,-0.9017203883601133
-0.7651894736,-0.9008047188260494
-0.7646664790000001,-0.8961967555932047
-0.7645544087,-0.8939090299858121
-0.7645544087,-0.8951933649743932
-0.7647411925,-0.8972632708628625
-0.7648906195,-0.8980793858503352
-0.7648159059999999,-0.8976172971957944
-0.7645917655,-0.8960829018911963
-0.7647411925,-0.898056988427951
-0.7649279763,-0.8997607170901691
-0.764965333,-0.9000880758125657
-0.7650774033,-0.9010541310035267
-0.7652641870999999,-0.9011089566413565
-0.7659096072,-0.9078589357786289
-0.7657124681,-0.9051128330532081
-0.7660839212999999,-0.9078677481618427
-0.7663281486,-0.909964300268361
-0.7660786503,-0.9076601507471613
-0.7662098173,-0.9091991363006073
-0.7663304459999999,-0.9106232036084194
-0.7664237295999999,-0.911918282374316
-0.7663057270999999,-0.9097184973636527
-0.7660804470999999,-0.9077164940319553
-0.766163226,-0.9073923062023332
-0.7662221637000001,-0.907297736153186
-0.7662474318000001,-0.9088421381014122
-0.7665342009999999,-0.9119769185816808
-0.7668420243999999,-0.914944607836096
-0.7666416166,-0.9131899356422548
-0.7668940062999999,-0.9145937937228843
-0.767433068,-0.919919732127488
-0.767127572,-0.9171528570402824
-0.766854438,-0.9145017893853324
-0.7670433698000001,-0.9168823221994342
-0.7670618576999999,-0.9169336463097918
-0.767033616,-0.9162903656019733
-0.7671066820999999,-0.9172834677564554
-0.7672731662000001,-0.9185063580335537
-0.7671674578000001,-0.9178885634670735
-0.7673206728,-0.9191057832555447
-0.7671503895,-0.9176913818029853
-0.7672023041,-0.9186523402775343
-0.76725358,-0.9193519653948636
-0.7672272286,-0.9188740258848034
-0.7672517794,-0.9183293149403471
-0.7673104406999999,-0.9186701628777542
-0.7676427739,-0.9219790162153974
-0.7674959057999999,-0.9212635307657634
-0.7676022829000001,-0.9227439581808615
-0.7675507456,-0.9229877234165861
-0.7676639066,-0.922769827640716
-0.7677684757,-0.9245206391864048
-0.7679852943000001,-0.9255193979386152
-0.76793524,-0.9259694097494171
-0.7674817962,-0.9219348056970441
-0.7675814976,-0.922856212028964
-0.7674936120999999,-0.9232539241620432
-0.767282412,-0.9211049183730211
-0.7669493877,-0.9178719506110238
-0.7663440289,-0.9147554860076276
-0.7658245384000001,-0.9109562418149689
-0.7650774033,-0.9055341592154829
-0.7656751114,-0.9116661539586615
-0.7661575851000001,-0.9136665415790608
-0.7656377545999999,-0.9117818053620566
-0.7658821873999999,-0.9147769099405677
-0.7658245384000001,-0.9168255042917097
-0.7662328515000001,-0.9190355209513341
-0.7662176361,-0.9182594329558096
-0.7661468077,-0.9167525936557201
-0.7661769583,-0.9147351963922769
-0.7657498249,-0.9140056563824377
-0.7658618951999999,-0.9159933727139378
-0.7660811943000001,-0.9146102393014984
-0.7666222733,-0.9171125845738799
-0.7662066157999999,-0.9160388902732925
-0.7662150323,-0.916058992911513
-0.7662682731999999,-0.916316072607397
-0.7662124285999999,-0.9145719924900575
-0.7661422651,-0.9142085691795818
-0.7658872455,-0.9135627153151876
-0.7659040597,-0.9139100611002899
-0.7660272548999999,-0.915224175016629
-0.7661280322,-0.9153583469285027
-0.7659374865999999,-0.9132781880164889
-0.7659833308,-0.9139517309191091
-0.7660619705,-0.9143341458056848
-0.7662585231,-0.9157593550644534
-0.7663726629000001,-0.9161554317147156
-0.7663023312999999,-0.9178298052993432
-0.7663546233,-0.918799530578061
-0.7661826253,-0.9177408994727156
-0.7663103593,-0.9188242234337836
-0.7663164670999999,-0.9192645346247663
-0.7663356872,-0.9191566436955736
-0.7665397485,-0.9194335543400182
-0.7665638959000001,-0.919897239632042
-0.7664551391,-0.9195354084682295
-0.7663609179,-0.91756879905708
-0.7664733431,-0.9194738988949459
-0.7665865265999999,-0.9213054710638544
-0.7665176781,-0.9214878474498787
-0.7666255045999999,-0.9219079362415558
-0.7664596218999999,-0.9209978317512548
-0.7661189246,-0.9198289453849815
-0.76596822,-0.9187966875592065
-0.7660239487999999,-0.918177745541707
-0.7658970516,-0.9180879240836964
-0.7657871817,-0.9181671527030428
-0.7658878843000001,-0.9173992682557435
-0.7660922855,-0.9196392326387381
-0.7661550561,-0.9197508789182061
-0.7662046808,-0.9203194049497638
-0.7662128059000001,-0.9189088529751035
-0.766254242,-0.9185803428792932
-0.7663782328000001,-0.9196883942662063
-0.7663870079,-0.9197138847633626
-0.7663774445999999,-0.9204040605492425
-0.7663446715000001,-0.9197901411180469
-0.7664104194,-0.9190280664432775
-0.7663985026000001,-0.9180402378600534
-0.766445277,-0.9184448161167232
-0.7663316265000001,-0.9193573773571619
-0.7661902684999999,-0.9164978279742253
-0.7661095256,-0.9177278811485425
-0.7660583879999999,-0.9172994544905004
-0.7660919006999999,-0.9171222983846193
-0.7659663259999999,-0.9162630964833118
-0.7660369228,-0.9161683331408985
-0.7660485744,-0.9158550356212278
-0.7660270083,-0.9155484718833109
-0.7660757551,-0.916760696325716
-0.7659160587,-0.9161457446982875
-0.7659158495,-0.9154234362448102
-0.7658648239,-0.9142772234319896
-0.7656003979000001,-0.9130905125362241
-0.7653389006,-0.9120513133923693
-0.7654136141,-0.9126281295468976
-0.7651894736,-0.9106210462577419
-0.7650400465,-0.9074639355114561
-0.7650400465,-0.9093491742120767
-0.7646291222,-0.9037491553898767
-0.7642929114,-0.9042417907054067
-0.764517052,-0.9032264650422293
-0.7638819870999999,-0.90367445647941
-0.7638072736,-0.9021677390911427
-0.7639940573999999,-0.8999486154109424
-0.7624997870999999,-0.8907170645133562
-0.7615658681999999,-0.8861550631241727
-0.7601463115,-0.8775303700357937
-0.7611923006999999,-0.8837345667667267
-0.7605945926000001,-0.879146178457025
-0.7601089547,-0.8752265632579859
-0.760221025,-0.8746419099557812
-0.7604825223,-0.8765515445144083
-0.7609308034000001,-0.8783183668745821
-0.7613043709,-0.8811531995941896
-0.7605198791,-0.8763539110079547
-0.7601463115,-0.8751538129845897
-0.7599968845,-0.8735456065572811
-0.7601463115,-0.877980029544335
-0.7601089547,-0.8754852705826515
-0.7585026142,-0.8648043996188652
-0.7577554791,-0.8600860126363825
-0.7546548683,-0.838904858113513
-0.7527870305,-0.8226556921663518
-0.7473703009,-0.797844266807301
-0.7483415766,-0.8079956653460908
-0.7494249225,-0.817926073450925
-0.7496864198000001,-0.8227705284852975
-0.7496864198000001,-0.8198227439814251
-0.7535715223999999,-0.8417256737037626
-0.7555140737,-0.8529945293484792
-0.7532353116,-0.8421940195952626
-0.7521146089,-0.8370581553057274
-0.7533100251,-0.8426312000217002
-0.7521893223999999,-0.8390273633900748
-0.7483789332999999,-0.8189699681419803
-0.7486777873999999,-0.8141869656316464
-0.7464737387999999,-0.807698556671175
-0.7470340901000001,-0.8009162922698653
-0.7473329442000001,-0.8099457450295937
-0.7456518901000001,-0.8046633520260305
-0.7454651064,-0.801279420971254
-0.7459881009,-0.8024426347152479
-0.7410943659,-0.7666554249235611
-0.7380684687000001,-0.7540087131923111
-0.7350799281999999,-0.7415355887602292
-0.7308586147,-0.7069076354871833
-0.727758004,-0.692942233823352
-0.7268987986,-0.6982995008774544
-0.7338097984999999,-0.7258710416057317
-0.7330253066,-0.7278870932125416
-0.7252177445999999,-0.6901589290695241
-0.7276832905,-0.7039404184853014
-0.7280195012999999,-0.7040800271651578
-0.7191285933,-0.6511700828665988
-0.7153929176999999,-0.6385886028114302
-0.7210337879000001,-0.6638715336265434
-0.7209590744,-0.6681024925419267
-0.7226774851000001,-0.6708808773348139
-0.7280942148,-0.6943718224545494
-0.727758004,-0.6984770022316018
-0.7302982634,-0.7083605876363299
-0.731120112,-0.712939899103332
-0.7252177445999999,-0.6863289692649815
-0.7272723661,-0.6983891265176554
-0.7231257662,-0.677471687100494
-0.7275338634,-0.6983889784156682
-0.7293643445,-0.7086457131002749
-0.7285424959000001,-0.6977518530693534
-0.7306344742,-0.7141722972785256
-0.7257033824,-0.6796389670260353
-0.726226377,-0.6775569750892544
-0.7250683175,-0.6771228118124243
-0.7270108689,-0.6925047115033269
-0.7261516634999999,-0.6903247344813702
-0.7261516634999999,-0.6916427389743626
-0.7261890202,-0.6874409540548966
-0.7277206472,-0.6934532336938027
-0.7305597607,-0.7084097392704207
-0.7296258418000001,-0.7037180802309291
-0.7319419607,-0.7157920613889931
-0.7333988740999999,-0.7160882793110306
-0.735416139,-0.7269303259017251
-0.7362006308,-0.7332078955063838
-0.7373213335,-0.7358568585122233
-0.7418041443000001,-0.7581746356257232
-0.7394133118999999,-0.7457556393719298
-0.7382552523999999,-0.7438777955600863
-0.7388156038,-0.7481973774263788
-0.737396047,-0.7336948383533164
-0.7347437174,-0.7265612739774001
-0.7356776362999999,-0.7314057348420351
-0.7371345497,-0.7389887377726442
-0.7380311118999999,-0.7457081635557895
-0.7391518145999999,-0.7514481229172556
-0.7404966578,-0.7557404782849824
-0.73862882,-0.7505288380099162
-0.7396748092000001,-0.7553357006866557
-0.7414679335,-0.7616785619565856
-0.741990928,-0.7666003163172898
-0.7406834416,-0.7555238739392215
-0.7426633495999999,-0.7574416763098053
-0.7417667875,-0.7319818463339023
-0.7367983389,-0.7293787737230613
-0.7363874145999999,-0.718053679846221
-0.7316057498,-0.7047124273361864
-0.7345569336,-0.7219795897916629
-0.7344822201000001,-0.7197859351510364
-0.7329505931,-0.7100562261234296
-0.7347810740999999,-0.7248401120796794
-0.7345942903,-0.721237814555032
-0.7341460093000001,-0.7145623651103126
-0.7349305011,-0.7169305797532348
-0.7343701498,-0.7031853867818587
-0.7322408147,-0.6920425833983089
-0.7320166742,-0.6570327388376279
-0.7303356201000001,-0.6697145207604355
-0.7313442526,-0.7010634951057694
-0.732352885,-0.7131385344620027
-0.7277953607,-0.6866041626519903
-0.7240970419,-0.6591504013795065
-0.719016523,-0.6339001444303038
-0.714122788,-0.6048940980505364
-0.7184561717,-0.6396324344743102
-0.7171486852,-0.640425346745688
-0.7162521231,-0.6188780482533913
-0.7198757284,-0.640611671252288
-0.7218182798,-0.6457104977443427
-0.7228269122,-0.6285983608418831
-0.72331255,-0.6477134183654824
-0.7272723661,-0.6535316944765206
-0.7243585392,-0.6909032994043142
-0.7235366905,-0.6905498263021232
-0.7220050634999999,-0.6875919264263095
-0.716887188,-0.6694609425326187
-0.7173354690000001,-0.6735715825915438
-0.7182693879000001,-0.6802901436664598
-0.7178211069,-0.692229826795862
-0.7181946744,-0.6933132181327197
-0.7172981123000001,-0.6859592125008358
-0.7174848961,-0.6884532333381618
-0.7153929176999999,-0.667716328980315
-0.7156917718000001,-0.6837995971095119
-0.7158785555,-0.6782446644551307
-0.7176343231,-0.7004283196521727
-0.7165883339,-0.6883327232862384
-0.7106859664,-0.6759780632040725
-0.7038123233,-0.6639826541459997
-0.698955945,-0.6514713283128626
-0.7010105665999999,-0.6628850399009903
-0.6924558695,-0.5770304824554002
-0.7121428798999999,-0.6657650783485677
-0.7278700742,-0.7401100448241267
-0.7238729012999999,-0.72880294005078
-0.7254418851000001,-0.6872226006910254
-0.7202866528,-0.7002541239752329
-0.7202119392,-0.6907586852139559
-0.7184935284999999,-0.6932353140735302
-0.7161774096,-0.7020235605947741
-0.7163268366,-0.6932861378597813
-0.7180078906,-0.6990413320834068
-0.7175596096,-0.6952054529785455
-0.7241343986,-0.717376595435353
-0.7225280581,-0.7126774957940757
-0.7231257662,-0.7236420575652115
-0.7239476148999999,-0.7261965567568175
-0.7243211824,-0.733733830321233
-0.7258901662,-0.7230432452267859
-0.7267867283,-0.6799345866056822
-0.7300741228000001,-0.7430482665383467
-0.7302235498999999,-0.7403405149696031
-0.7317925336,-0.7387287122854215
-0.7269361553,-0.7340258542864575
-0.7286545661,-0.7334525489299126
-0.7287292795999999,-0.7325290074640963
-0.7305597607,-0.7368350650568294
-0.7303356201000001,-0.7487740418768455
-0.7299994093000001,-0.7354546636367405
-0.7266373012999999,-0.7090366255258946
-0.7250683175,-0.7283906272232124
-0.7261890202,-0.7432981521791784
-0.7278700742,-0.7302663518672374
-0.7283183553,-0.6637289118799068
-0.7263010905,-0.5531788791882681
-0.7230510526999999,-0.6951102081870564
-0.7223039176,-0.6927198868276747
-0.7147952096,-0.6717514465750365
-0.7161774096,-0.5559053133146956
-0.7220050634999999,-0.6205867290240721
-0.7179705339,-0.48748491793092863
-0.7245826797,-0.5996532704937487
-0.7211085014,-0.620114705626294
-0.721631496,-0.6650879791885093
-0.721780923,-0.6833399450198627
-0.7231257662,-0.687680815822793
-0.7251803878,-0.6688836232857764
-0.7286919229000001,-0.6456288503202229
-0.7364247714,-0.678898810773402
-0.7310827553,-0.6988895356537392
-0.7284304256,-0.6877684115583362
-0.7288039931,-0.7127957515004439
-0.7290281337000001,-0.7105828161296956
-0.7288413498999999,-0.7126333360446867
-0.7274965067,-0.6861176813929735
-0.7239102581,-0.666738013428788
-0.7242464689,-0.6676480590047249
-0.7259275229000001,-0.6977770811867902
-0.7256286689,-0.697453016280646
-0.7263384472,-0.7072990734999987
-0.727758004,-0.7064334845678018
-0.7276459337000001,-0.705847552295584
-0.7280195012999999,-0.7057539227772172
-0.729439058,-0.7150641969611736
-0.729439058,-0.7173821271429422
-0.729439058,-0.7136183240294285
-0.7275712202,-0.6815269974807404
-0.7277953607,-0.7018725240344313
-0.7279821445,-0.6695570677834544
-0.7284304256,-0.7144813442194651
-0.7283930688,-0.7102837942051032
-0.7271976526,-0.6986668449901617
-0.7274217931999999,-0.7141498483175974
-0.7279447878,-0.7129451562803042
-0.7288039931,-0.7112326979265807
-0.7285424959000001,-0.7156432280487286
-0.7276085769,-0.705683945074781
-0.7260022364000001,-0.6933225366583394
-0.7249188905,-0.6900957004661399
-0.7243585392,-0.6973874198800222
-0.7257033824,-0.7061823453697631
-0.7259648797,-0.7150238387534262
-0.7257780959000001,-0.7091473534734705
-0.7259275229000001,-0.717196993584707
-0.7264505175,-0.7030509744493009
-0.7269735120999999,-0.7210473923158391
-0.7260395931999999,-0.7209482691944222
-0.7239849716,-0.7099297442213425
-0.7261143067,-0.7107907012753
-0.7251803878,-0.71067134887235
-0.725143031,-0.7101311627914022
-0.724993604,-0.709328869485754
-0.7249188905,-0.6824556569975008
-0.7226774851000001,-0.6997428133562328
-0.7221918473000001,-0.7050080296210339
-0.7231257662,-0.7038624763022705
-0.720249296,-0.6470039734698871
-0.7156917718000001,-0.6448845998897086
-0.718568242,-0.6870365574440852
-0.720249296,-0.6910907607135025
-0.7198383717,-0.6955643648257842
-0.7215941392,-0.6870969624032834
-0.720398723,-0.7004547422461963
-0.7215567825,-0.7068994491163866
-0.7206228635999999,-0.6819654313051462
-0.7199877987000001,-0.6899123245312639
-0.7207349338,-0.7078403136880168
-0.7202866528,-0.6986636087415332
-0.7203613662999999,-0.684069726882429
